apogee_id,period (days)
2M00000662+7528598,1.03
2M00005196+0022164,1.06
2M00013842+7350554,1.81
2M00022269+6254032,1.51
2M00023036+8524194,1.04
2M00023939+7109185,1.97
2M00025606+7014169,1.04
2M00033808+7018217,1.0
2M00041928+0052323,1.54
2M00043410-7351105,4.87
2M00044189+6939114,1.76
2M00044627+0132128,1.0
2M00045306+7048114,1.0
2M00050936-7738321,1.0
2M00051989+6853037,1.42
2M00054456+7016443,1.13
2M00054486+8453193,1.0
2M00060064+7001540,1.64
2M00063268-7310123,38.0
2M00064418+7541165,1.24
2M00065234+0151397,1.14
2M00065841+7528039,1.11
2M00070631+8524175,1.38
2M00071381+7312369,1.41
2M00072527+8552481,1.05
2M00073823+7353217,1.0
2M00074863+7040220,1.65
2M00075570+0047272,1.41
2M00080998+7109340,1.12
2M00082294-7721037,1.03
2M00085424+6716518,1.01
2M00091679-7656508,1.08
2M00102595-7705282,1.0
2M00110431+6604450,1.36
2M00110648+6609349,1.0
2M00111010+0117459,1.0
2M00111224+7349438,1.04
2M00113085-7628264,1.0
2M00114249+6939206,1.0
2M00114326+7112562,1.0
2M00114619-7739374,1.0
2M00115043+6607347,1.01
2M00115755-7731186,1.03
2M00120416+6825310,1.87
2M00120952-7733298,1.26
2M00121679+6629206,1.0
2M00125555+8457545,1.12
2M00132322-7707113,1.03
2M00134571+6557495,1.0
2M00135070+7207423,1.39
2M00135520+7107430,1.56
2M00140613+8541300,1.05
2M00141786-7757569,1.02
2M00142422-7734043,1.0
2M00144033+7135418,1.58
2M00144616-7632512,1.0
2M00144713+6934333,1.66
2M00145508+7021380,1.11
2M00150375+6332448,1.16
2M00150792+6559126,1.0
2M00151109+8527156,1.79
2M00153518-7156216,1.04
2M00155291+8507242,1.03
2M00161547-7644108,1.0
2M00162429+6329460,1.28
2M00162921-7217411,1.0
2M00163253+8556588,1.2
2M00163615+6739034,1.0
2M00164113+7320169,1.0
2M00165060+6253560,1.16
2M00165734+6333108,1.28
2M00170286+8457182,1.03
2M00170781+8551505,1.16
2M00171500+6918003,1.53
2M00171524+6206306,1.0
2M00171874+6249331,1.39
2M00172150-7154568,1.48
2M00173841+6241171,1.0
2M00174148+7338153,1.1
2M00174915-7202142,1.0
2M00180258-7151241,1.0
2M00180367+8449299,1.0
2M00180690-7707382,1.0
2M00183354+7335459,1.48
2M00183444-7722092,1.57
2M00183912+8511154,1.03
2M00184215+7418026,1.0
2M00184400-7240490,1.0
2M00185197-7733572,1.0
2M00185218-7637256,1.03
2M00185323+6749130,1.04
2M00185904+7201570,1.0
2M00190543-7759201,1.03
2M00190569-7626162,1.0
2M00191072+6608488,1.01
2M00191177+7549235,1.74
2M00191232+7002582,1.04
2M00192025-7231405,1.0
2M00192287-7639566,1.0
2M00192294+8538369,1.38
2M00192309+6719245,1.23
2M00192726+8554252,1.01
2M00193752-7622316,1.72
2M00193802+6537293,1.0
2M00194401-7616334,1.25
2M00194562-7647253,1.0
2M00195111-7235413,1.0
2M00195337-7248195,1.0
2M00200441-7217594,1.0
2M00200554+6203587,1.06
2M00201689+6941411,1.33
2M00201861+6745368,1.11
