#Table1
apogee_id,apstar_id,ra,dec,nvisits,starSNR,vscatter,verr,visit_id,vhelio,vrelerr,visitSNR,starflag,mjd
2M00000662+7528598,apogee.apo25m.stars.120+12.2M00000662+7528598,0.027622,75.483292,9,827.6752,2.006593,0.08394658,apogee.apo25m.dr17.7545.56933.190,15.74034,0.07290228,233.139,1179648,56933
2M00000662+7528598,apogee.apo25m.stars.120+12.2M00000662+7528598,0.027622,75.483292,9,827.6752,2.006593,0.08394658,apogee.apo25m.dr17.6531.56559.274,11.87883,0.08685728,205.95,131072,56559
2M00000662+7528598,apogee.apo25m.stars.120+12.2M00000662+7528598,0.027622,75.483292,9,827.6752,2.006593,0.08394658,apogee.apo25m.dr17.7545.56936.196,11.73349,0.07937966,207.153,1179648,56936
2M00000662+7528598,apogee.apo25m.stars.120+12.2M00000662+7528598,0.027622,75.483292,9,827.6752,2.006593,0.08394658,apogee.apo25m.dr17.7546.56991.275,14.87306,0.08553569,198.609,131072,56991
2M00000662+7528598,apogee.apo25m.stars.120+12.2M00000662+7528598,0.027622,75.483292,9,827.6752,2.006593,0.08394658,apogee.apo25m.dr17.7545.56971.196,14.83172,0.08039678,201.836,131072,56971
2M00000662+7528598,apogee.apo25m.stars.120+12.2M00000662+7528598,0.027622,75.483292,9,827.6752,2.006593,0.08394658,apogee.apo25m.dr17.6531.56254.273,13.30025,0.07828191,215.304,1179648,56254
2M00000662+7528598,apogee.apo25m.stars.120+12.2M00000662+7528598,0.027622,75.483292,9,827.6752,2.006593,0.08394658,apogee.apo25m.dr17.7546.56934.275,13.81317,0.07077241,239.157,131072,56934
2M00000662+7528598,apogee.apo25m.stars.120+12.2M00000662+7528598,0.027622,75.483292,9,827.6752,2.006593,0.08394658,apogee.apo25m.dr17.6531.56487.273,9.232686,0.1494228,109.144,131072,56487
2M00000662+7528598,apogee.apo25m.stars.120+12.2M00000662+7528598,0.027622,75.483292,9,827.6752,2.006593,0.08394658,apogee.apo25m.dr17.7546.56937.191,12.61482,0.1046292,156.379,1179648,56937
2M00001071+6258172,apogee.apo25m.stars.116+00.2M00001071+6258172,0.04464,62.97147,8,125.4448,0.8615568,0.06435889,apogee.apo25m.dr17.7791.56995.265,-74.19135,0.1063637,18.3952,0,56995
2M00001071+6258172,apogee.apo25m.stars.116+00.2M00001071+6258172,0.04464,62.97147,8,125.4448,0.8615568,0.06435889,apogee.apo25m.dr17.7791.57269.259,-71.75006,0.07473149,27.3095,0,57269
2M00001071+6258172,apogee.apo25m.stars.116+00.2M00001071+6258172,0.04464,62.97147,8,125.4448,0.8615568,0.06435889,apogee.apo25m.dr17.7791.57260.264,-71.85538,0.07912014,25.5193,0,57260
